product_name,quantity,price_at_purchase,created_at
PROD1,1.0,395500,2024-01-02
PROD2,24.0,65700,2024-01-02
PROD3,1.0,765500,2024-01-02
PROD4,1.0,185000,2024-01-02
PROD5,1.0,332500,2024-01-02
PROD4,1.0,185000,2024-01-02
PROD6,1.0,750000,2024-01-02
PROD7,1.0,87500,2024-01-02
PROD8,2.0,664600,2024-01-02
PROD4,4.0,185000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD4,1.0,185000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD1,1.0,395500,2024-01-02
PROD11,1.0,258000,2024-01-02
PROD12,1.0,25850,2024-01-02
PROD13,1.0,370000,2024-01-02
PROD14,1.0,365000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD15,1.0,369500,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD5,1.0,332500,2024-01-02
PROD16,1.0,57750,2024-01-02
PROD17,1.0,1227000,2024-01-02
PROD18,1.0,790000,2024-01-02
PROD3,1.0,770500,2024-01-02
PROD11,1.0,258000,2024-01-02
PROD19,1.0,537800,2024-01-02
PROD20,1.0,297600,2024-01-02
PROD21,1.0,236800,2024-01-02
PROD4,1.0,185000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD21,1.0,236800,2024-01-02
PROD22,1.0,940500,2024-01-02
PROD4,1.0,185000,2024-01-02
PROD20,1.0,297600,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD21,1.0,236800,2024-01-02
PROD23,1.0,882000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD2,6.0,65700,2024-01-02
PROD21,1.0,236800,2024-01-02
PROD24,1.0,311500,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD9,2.0,130000,2024-01-02
PROD14,1.0,365000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD21,1.0,236800,2024-01-02
PROD14,1.0,365000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD25,1.0,406000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD3,1.0,765500,2024-01-02
PROD26,1.0,14335,2024-01-02
PROD20,1.0,297600,2024-01-02
PROD27,1.0,360000,2024-01-02
PROD9,2.0,130000,2024-01-02
PROD11,1.0,258000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD17,1.0,1222000,2024-01-02
PROD4,1.0,185000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD10,1.0,340000,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD28,1.0,49500,2024-01-02
PROD2,5.0,65700,2024-01-02
PROD9,1.0,130000,2024-01-02
PROD25,1.0,406000,2024-01-02
PROD29,1.0,249500,2024-01-02
PROD30,1.0,356000,2024-01-02
PROD9,1.0,130000,2024-01-02
